text,difficulty,importance
go for stretch moderate effort,0.494,0.371
go to interview considerable effort,0.55,0.462
fill out timesheet easy must do,0.157,0.872
go through reading decent effort important,0.495,0.664
review homework hard critical,0.575,0.93
fill out expense report technically hard completely optional,0.699,0.102
file invoice quick but important,0.051,0.881
go for meditation important moderate effort,0.416,0.699
have standup quite demanding,0.645,0.455
do assignment extreme critical,0.802,0.896
review reading needs reasonable effort,0.338,0.532
do gym session easy should do,0.092,0.48
quick expense report,0.063,0.189
easy yoga session,0.131,0.12
do assignment average task average priority,0.579,0.485
complete documentation not important but hard,0.758,0.244
fill out taxes hard demanding,0.766,0.554
attend call with client not critical should do,0.473,0.476
work on documentation technically hard completely optional,0.694,0.184
get dishes hard demanding,0.69,0.619
run interview barely any effort extremely important,0.09,0.888
do stretch difficult urgent,0.58,0.831
join standup tough challenging,0.723,0.662
get cooking tough challenging,0.651,0.515
study for exam prep quite demanding,0.539,0.544
complete invoice easy simple,0.164,0.133
have dentist easy but critical,0.113,0.824
complete timesheet takes forever but skip it,0.767,0.057
just need to press enter to save the company,0.02,0.98
go to dentist this week,0.421,0.415
get cooking hard demanding,0.696,0.566
prepare for meeting easy must do,0.116,0.846
do exam prep middle of the road,0.553,0.425
complete timesheet easy must do,0.115,0.841
do stretch simple urgent need,0.138,0.863
do yoga hardest thing ever very important,0.872,0.937
review deployment hard hard,0.647,0.581
have call with client simple urgent need,0.176,0.89
do meditation easy low importance,0.198,0.301
attend slides quick low value,0.106,0.238
fill out timesheet not difficult,0.223,0.335
attend interview not hard but important,0.173,0.626
go to call with client somewhat challenging,0.45,0.537
run networking event easy but critical,0.119,0.913
finish vacuuming complex nobody asked for,0.633,0.067
go for gym session takes some effort,0.353,0.348
do invoice hard doesn't matter,0.644,0.164
refactor email easy no effort,0.041,0.139
join slides hard very important,0.582,0.903
do dusting easy very important,0.089,0.873
join team standup technically hard completely optional,0.698,0.137
write unit testing kinda hard kinda matters,0.572,0.462
go to team standup this week,0.415,0.363
review code review difficult urgent,0.656,0.915
do assignment demanding critical,0.755,0.861
finish reading this week,0.479,0.427
work on report massive effort basically useless,0.847,0.09
complete invoice demanding critical,0.749,0.916
write performance review difficult needs doing,0.66,0.709
complete report hard nobody cares,0.636,0.05
write email hard critical,0.614,0.902
take care of cooking takes forever but skip it,0.735,0.055
get dusting if time allows,0.28,0.234
get laundry simple critical,0.15,0.852
file taxes important moderate effort,0.496,0.758
do stretch quick nothing important,0.04,0.056
have networking event brutal intense,0.849,0.815
take care of shopping hard critical,0.728,0.852
easy documentation session,0.124,0.165
review documentation massive effort basically useless,0.748,0.122
complete budget difficult pointless,0.609,0.088
go through assignment grueling most important,0.964,0.911
do exam prep needs reasonable effort,0.359,0.369
study for reading simple pointless,0.032,0.06
join sprint planning light and simple,0.146,0.136
join call with client extremely hard life or death,0.856,0.992
get vacuuming takes forever but skip it,0.702,0.126
complete expense report difficult needs doing,0.68,0.72
lead team standup hard doesn't matter,0.694,0.14
fill out timesheet demanding critical,0.63,0.941
have dentist tough no benefit,0.636,0.095
submit budget nice to have,0.264,0.284
finish exam prep easy nothing to stress,0.08,0.097
refactor performance review hard needs focus,0.572,0.562
prepare for networking event difficult needs doing,0.599,0.724
do walk technically hard completely optional,0.673,0.126
go for stretch hard very important,0.689,0.851
handle shopping quick and easy,0.046,0.172
do gym session hard cannot miss,0.61,0.903
lead standup exhausting low stakes,0.617,0.125
lead networking event barely anything,0.015,0.083
push email next week,0.308,0.347
go through assignment hard doesn't matter,0.669,0.18
submit invoice hard doesn't matter,0.664,0.179
refactor documentation not important but hard,0.714,0.285
review homework medium difficulty medium stakes,0.429,0.437
review homework hard doesn't matter,0.589,0.109
go to interview hard needs focus,0.666,0.622
write report extreme critical,0.853,0.885
do gym session hard needs focus,0.574,0.696
do run one click very important,0.094,0.884
have meeting moderately important,0.395,0.642
debug report easy moderate important,0.139,0.565
handle shopping brutal intense,0.827,0.926
go to doctor appointment medium effort,0.487,0.386
lead presentation hard doesn't matter,0.558,0.125
get doctor appointment hard quite important,0.744,0.773
run presentation non trivial,0.585,0.387
push deployment difficult urgent,0.643,0.919
fill out invoice one click very important,0.038,0.931
write email quick but matters,0.154,0.652
do homework quite demanding,0.562,0.589
join standup non trivial,0.588,0.353
hard presentation session,0.639,0.573
get laundry complex nobody asked for,0.739,0.127
attend retrospective hard zero payoff,0.75,0.096
finish report moderate effort,0.457,0.482
lead standup grueling most important,0.94,0.902
push performance review hard nobody cares,0.698,0.137
ship email hard very important,0.678,0.831
do checkup difficult needs doing,0.614,0.722
attend retrospective takes no time top priority,0.05,0.886
debug documentation draining but irrelevant,0.676,0.113
go to retrospective small but worth doing,0.279,0.315
handle groceries not urgent,0.445,0.197
push report hard critical,0.641,0.85
have presentation requires focus,0.412,0.528
ship email should prioritize,0.34,0.645
get dusting draining but irrelevant,0.709,0.113
go for meditation takes no time top priority,0.064,0.941
do cleaning important moderate effort,0.466,0.653
join retrospective quite demanding,0.675,0.474
debug report hard very important,0.641,0.935
do cooking hard zero payoff,0.639,0.085
do dusting barely any effort extremely important,0.149,0.899
prepare for networking event complex very important,0.721,0.863
go to medication extremely complex critical,0.834,0.94
review email extremely hard life or death,0.817,0.92
finish deployment tough urgent must do,0.798,0.852
file invoice brutal intense,0.922,0.803
do expense report quick low value,0.105,0.222
study for homework easy must do,0.147,0.893
go to slides tough no benefit,0.688,0.055
prepare for retrospective worthwhile effort,0.375,0.677
file taxes worth the time,0.352,0.649
do walk hard hard,0.723,0.678
review report thirty seconds can't skip,0.032,0.887
lead presentation regular task,0.471,0.326
go to presentation moderately important,0.419,0.526
review assignment trivial but high stakes,0.061,0.866
take care of laundry complex very important,0.65,0.878
go through exam prep easy should do,0.086,0.626
run meeting important moderate effort,0.44,0.746
refactor code review needs reasonable effort,0.497,0.519
do gym session important needs focus,0.407,0.672
have slides not difficult,0.192,0.243
finish exam prep massive effort basically useless,0.797,0.12
file expense report tiny task major impact,0.051,0.814
get laundry exhausting low stakes,0.624,0.139
get cooking difficult pointless,0.777,0.073
do run decent effort important,0.423,0.558
hard slides session,0.57,0.512
prepare for homework brutal intense,0.811,0.883
go to standup non trivial,0.493,0.409
go to slides extremely hard life or death,0.864,0.907
fill out taxes somewhat challenging,0.434,0.378
write report tiny task major impact,0.092,0.941
handle shopping decent effort important,0.461,0.674
handle groceries considerable effort,0.543,0.405
review reading worth the time,0.423,0.745
ship report extremely hard life or death,0.817,0.937
complete documentation worthwhile effort,0.317,0.576
work on report difficult needs doing,0.698,0.658
go for yoga easy moderate important,0.106,0.519
review study session hard waste of time,0.609,0.148
have slides hard cannot miss,0.606,0.915
submit expense report low priority,0.36,0.195
prepare for assignment hardest thing ever very important,0.877,0.975
get cleaning takes some effort,0.512,0.376
attend slides not critical should do,0.445,0.45
fill out taxes if time allows,0.39,0.242
lead sprint planning one click very important,0.047,0.884
go to interview tough no benefit,0.655,0.106
finish dishes tiny task major impact,0.09,0.94
prepare for sprint planning moderate effort,0.315,0.35
refactor report tough no benefit,0.653,0.14
take care of cooking trivial but high stakes,0.051,0.874
go to sprint planning brutal intense,0.854,0.83
extreme unit testing,0.95,0.873
study for study session easy but critical,0.137,0.813
go through exam prep standard routine,0.306,0.357
file expense report easy must do,0.094,0.948
do shopping hard nobody cares,0.635,0.163
have meeting brutal intense,0.864,0.833
do gym session draining but irrelevant,0.697,0.11
submit budget not easy not important,0.482,0.407
go to checkup complex nobody asked for,0.699,0.106
do checkup tough urgent must do,0.772,0.89
hard dishes session,0.644,0.687
go for run difficult urgent,0.697,0.932
lead interview worth the time,0.365,0.636
file invoice not important,0.211,0.247
go for workout draining but irrelevant,0.759,0.05
review code review hard very important,0.633,0.94
do cooking decent effort important,0.381,0.584
go to interview extreme critical,0.815,0.923
finish cleaning extreme critical,0.887,0.867
prepare for study session hardest thing ever very important,0.88,0.997
fill out taxes easy but critical,0.108,0.819
